"","Comment","AuthorDisplayName","AuthorProfileImageUrl","AuthorChannelUrl","AuthorChannelID","ReplyCount","LikeCount","PublishedAt","UpdatedAt","CommentID","ParentID","VideoID"
"237","Someone in Apil 2024☻️👇👀","@ChettarKhantamat-ht9vg","https://yt3.ggpht.com/ytc/AIdro_njv5bj96nXZPdVSGWFsAya7ecRhM4u_78FX5cOyq1Aefxs0LYhy-CVDYRCpSNnYeaQwA=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@ChettarKhantamat-ht9vg","UCYBxoF-bLA1ICWtNLGeMjXA","0","2","2024-04-28T01:09:29Z","2024-04-28T01:09:29Z","UgwFIxIQZncFbgOmk4F4AaABAg",NA,"JGwWNGJdvx8"
"238","Ed sheeran's the best Singer","@delmivillalta4976","https://yt3.ggpht.com/ytc/AIdro_kK07Ml9vtMhUDmL2eWHI4BOxbxTq0RlbBs28dRVwpfsA3IgJAJj3zvCLBlnO6T9Ui8Dg=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@delmivillalta4976","UC1bG9TkA6G-IDgHSr7_EBxw","0","0","2024-04-28T00:20:35Z","2024-04-28T00:20:35Z","UgxuBWpc6IfNu9UhgCN4AaABAg",NA,"JGwWNGJdvx8"
"239","27042024 let´s see how many legends are listening this masterpiece.","@just.abelhinha","https://yt3.ggpht.com/RH7RMHaCcas10a1A_fvyzCdMlL4Si0o5IytqdVmAlG4IZFY8tIMmaitDKiabKgsog6aSelJFkQ=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@just.abelhinha","UCn_Nfw3NjNELP-WAUyWzjbQ","0","0","2024-04-28T00:04:06Z","2024-04-28T00:04:06Z","UgxNWVSjPVBuOk_kl5N4AaABAg",NA,"JGwWNGJdvx8"
"240","Quien vino por madrid entrenando 2017 : que tiempos ❤😢","@user-ww5zl5rd5l","https://yt3.ggpht.com/ytc/AIdro_mRRMq4hNHFoTDdtFzHgo_n0PsVaBf1SRXa0SvfBIgDMG9erjtndbJOE-c4q_arjuX7OA=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@user-ww5zl5rd5l","UCsOGegLjtc5eTRw6nLkm-kQ","0","0","2024-04-27T23:52:13Z","2024-04-27T23:52:13Z","UgzGdJnuWNgA_di0MSx4AaABAg",NA,"JGwWNGJdvx8"
"241","u.U❤","@MYSTERDPC","https://yt3.ggpht.com/Sm0SQ76WjWQXTjsvBgi_qLrcxf4qytfEo8nMBwbmpOkZgYNvMJ0sE8zQtBsksrNKmIYL4_CpCA=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@MYSTERDPC","UCjy6C38LfS_Ke90d_PTmBWA","0","0","2024-04-27T23:48:59Z","2024-04-27T23:48:59Z","UgxhlKsspVjP4g92Sk94AaABAg",NA,"JGwWNGJdvx8"
"242","Cadê a tradução!!!😊","@rozagomes4743","https://yt3.ggpht.com/ytc/AIdro_nTUhl26_wSx5EG4hFFzosm1luGVRalPDkrkaRPIk4Cl0ZF=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@rozagomes4743","UCARWi5pAhJVpGRY6ojj0_Eg","0","0","2024-04-27T23:44:15Z","2024-04-27T23:44:15Z","UgwNQbORzMNxA8RrqYF4AaABAg",NA,"JGwWNGJdvx8"
"243","Anyone in 2024?? 🤔🤠😎","@jenydeza1887","https://yt3.ggpht.com/ytc/AIdro_kPojoient4KJ2QcbwiLjYLiJkxnnH6W6pq-lyjcuk=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@jenydeza1887","UCnyA0oVqMBH6RO8FSpmXTbg","0","2","2024-04-27T23:24:38Z","2024-04-27T23:24:38Z","UgxIFg50Rl_SM_rQ6rJ4AaABAg",NA,"JGwWNGJdvx8"
"244","🌝","@bartos6003","https://yt3.ggpht.com/vSsMjU3mg0lywqKl8Wv5nvf70YNctWFSK8-xRm-b0wcAnz4e4qIxepOPa2mTc0e5BWIsxoh9=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@bartos6003","UCOxMmR9VEnioSzVV_-k54wg","0","0","2024-04-27T22:46:48Z","2024-04-27T22:46:48Z","Ugxu2bNpI2BDp9ES5AB4AaABAg",NA,"JGwWNGJdvx8"
"245","Anybody from 2024👀🌏?","@AzimjonOdilov-br5rl","https://yt3.ggpht.com/ytc/AIdro_nzf_38osY0eh7aPQbfKu6wRof-DTAs7pSaNm9ZMqGPUJFfWyS5SFzzSHFBOz2qGsV8gw=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@AzimjonOdilov-br5rl","UCS7czEFPNsSBVwJxJreokTA","0","2","2024-04-27T22:31:04Z","2024-04-27T22:31:04Z","UgxjROHMXM1n4Xz45sZ4AaABAg",NA,"JGwWNGJdvx8"
"246","Anybody from 2024👀🌏","@AzimjonOdilov-br5rl","https://yt3.ggpht.com/ytc/AIdro_nzf_38osY0eh7aPQbfKu6wRof-DTAs7pSaNm9ZMqGPUJFfWyS5SFzzSHFBOz2qGsV8gw=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@AzimjonOdilov-br5rl","UCS7czEFPNsSBVwJxJreokTA","0","0","2024-04-27T22:30:26Z","2024-04-27T22:30:26Z","UgxbcRYD4hOzAya9f6N4AaABAg",NA,"JGwWNGJdvx8"
