"","Comment","AuthorDisplayName","AuthorProfileImageUrl","AuthorChannelUrl","AuthorChannelID","ReplyCount","LikeCount","PublishedAt","UpdatedAt","CommentID","ParentID","VideoID"
"293","Who is here in 2024.","@tednix2546","https://yt3.ggpht.com/ytc/AIdro_mET1ie68FZ_bghso0IfdE-Yn-7usXpd0naeo6qwkrzTdc=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@tednix2546","UCewNep0qreF85RLDLJSLipQ","0","2","2024-03-15T15:21:01Z","2024-03-15T15:21:01Z","UgwyA6kcLKW3HfwJM594AaABAg",NA,"y83x7MgzWOA"
"294","Ppl from 2026 👇👇🤞","@Jerry-qc3ov","https://yt3.ggpht.com/ytc/AIdro_mYrre1cCq7Z9HFEGsfeVnW26MDwzwTBrNyiwaNF14431U=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@Jerry-qc3ov","UCPDPplDXIm_jbeahqlZW6qw","0","1","2024-03-15T08:23:11Z","2024-03-15T08:23:11Z","UgyrWLUQMMW3oRkx4N54AaABAg",NA,"y83x7MgzWOA"
"295","❤😊","@meseretasfaw2827","https://yt3.ggpht.com/ytc/AIdro_nRaSiu21S3VeRCnO6_aIIIkKWFJBMRsmhlG65VlKE=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@meseretasfaw2827","UCRkex4W7vO1mTX67DAs8M_A","0","0","2024-03-15T00:40:09Z","2024-03-15T00:40:09Z","UgxCWuClFU--WVW1HdV4AaABAg",NA,"y83x7MgzWOA"
"296","This song will never get old","@user-yx9xh9lg9e","https://yt3.ggpht.com/ytc/AIdro_lmfMlm7mvgCBaKxr28ToxC0pRlCwZwL1OH3sMsflQPBOitVI7HouPqTrq8uBQXl6I5tA=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@user-yx9xh9lg9e","UC5Du_F-vavHQ6Wu-PuTT8_g","0","0","2024-03-14T21:57:29Z","2024-03-14T21:57:29Z","UgzBXgnFHs6ZCiOw_Vt4AaABAg",NA,"y83x7MgzWOA"
"297","Esos hombres son otros que hablan y de hechos nada","@zaidaMoreto","https://yt3.ggpht.com/ytc/AIdro_nkMQvnwxyr8NrUtp20CYsJyI23GNpso7j2EJV5XBTMaQdwxMYn-6v7r8clpD54LdAYYA=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@zaidaMoreto","UC2ftMgdk258UZZ0Hy6mhIgA","0","0","2024-03-14T21:41:32Z","2024-03-14T21:41:32Z","Ugx2haT0TOjTo_t7RoF4AaABAg",NA,"y83x7MgzWOA"
"298","La Key misma ha dicho que así es su primer amor según Zaida jajjaj así se vende la arpia😮según los hombres que mujer de respeto la usan jjaja😮","@zaidaMoreto","https://yt3.ggpht.com/ytc/AIdro_nkMQvnwxyr8NrUtp20CYsJyI23GNpso7j2EJV5XBTMaQdwxMYn-6v7r8clpD54LdAYYA=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@zaidaMoreto","UC2ftMgdk258UZZ0Hy6mhIgA","0","0","2024-03-14T21:41:13Z","2024-03-14T21:41:13Z","Ugxhs1nzEPLWo9UyJGN4AaABAg",NA,"y83x7MgzWOA"
"299","When this came out I was homeless, on drugs, and then jail. I now have a house, job, and husband. This song and “Clover Cage - Heart Of A City Boy” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ❤️","@dennisg5637","https://yt3.ggpht.com/RKCrrTRoqgngRRJs-phD-6EFTN9pJfqQnv2mhubAInUzFyTHD8CAK_1BGt0LD0zLdtBvykUl82E=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@dennisg5637","UCFOrO2fBg4SFTC464f3GK8Q","0","1","2024-03-14T17:27:16Z","2024-03-14T17:27:16Z","Ugx7DlfLwv-0MY1ETDZ4AaABAg",NA,"y83x7MgzWOA"
"300","In 2024, who is still coming back?","@DeepSync-8888","https://yt3.ggpht.com/rzxVmmzRQM8Cchz6fbFkWT1f1bMn8x4p6ggqRNW62RCNKnPMw-ojo3xUK889B96n_vvuQ-G9eA=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@DeepSync-8888","UCi55B8_k8e_nOAfnNEL8hJQ","3","17","2024-03-14T03:08:54Z","2024-03-14T03:08:54Z","Ugz3Vg4cykCMWFYoTFV4AaABAg",NA,"y83x7MgzWOA"
"301","😶","@thaliacuascota3254","https://yt3.ggpht.com/ytc/AIdro_l3Mn-TRsNyeKFqDaQjIVvN25UuNFz-mXtOjIrQE9k=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@thaliacuascota3254","UCoGjMWcUPZmYmQjNBwVM8TA","0","0","2024-03-13T22:19:15Z","2024-03-13T22:19:15Z","UgxEiXqx1A0B3yVgi094AaABAg",NA,"y83x7MgzWOA"
"302","and to the person that culture cringey stop making crazy playlist","@user-mp4jy2tp9n","https://yt3.ggpht.com/ytc/AIdro_l4B4Et88vx1Nh-zoDUEExgQBXEzbfzBCApObVOvXyroAdDDlnOOH5OFkBTiMvJuqH4ng=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@user-mp4jy2tp9n","UCU_ZcXTvBAnn_dmSxO4SmCg","0","0","2024-03-13T22:13:07Z","2024-03-13T22:13:07Z","Ugys4JHa9v6EOe7u1lZ4AaABAg",NA,"y83x7MgzWOA"
"303","ANYONE?? 2024??

HOPE YOUR DOING OK ❤️ U ALL.🇯🇲","@RastafamilyLinks","https://yt3.ggpht.com/Nuf8C3Fl6jjHBZ8YDJCa2_4w0GZDpHha8FUDRyfcAAmZJTqk6y471MES1HVV7CSzuOgfSkrB=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@RastafamilyLinks","UC3Jc1qC0RTbD3QvhNjJKhsg","0","9","2024-03-13T18:32:56Z","2024-03-13T18:32:56Z","UgwlEFXhHKZPrklZseV4AaABAg",NA,"y83x7MgzWOA"
